customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_score,churn_risk_label
CUS-00028,52,2,86.17,4,1,1,411,Potential Loyalists,5,Low risk
CUS-00029,99,1,80.15,3,1,1,311,Potential Loyalists,18,Low risk
CUS-00030,293,2,278.67,2,1,3,213,Hibernating,92,High risk
CUS-00031,356,3,162.84,2,2,2,222,Hibernating,72,High risk
CUS-00032,60,4,353.4,4,3,3,433,Potential Loyalists,20,Low risk
CUS-00033,25,6,689.71,5,4,5,545,High-Value Customers,5,Low risk
CUS-00034,501,5,379.86,1,3,3,133,At Risk,67,High risk
CUS-00035,177,7,529.18,2,4,4,244,At Risk,44,Medium risk
CUS-00036,130,4,622.03,3,3,4,334,Potential Loyalists,45,Medium risk
CUS-00037,651,1,41.77,1,1,1,111,Hibernating,77,High risk
CUS-00038,30,6,392.77,5,4,3,543,Discount Seekers,21,Low risk
CUS-00039,314,6,472.86,2,4,4,244,At Risk,65,High risk
CUS-00040,107,7,726.96,3,4,5,345,High-Value Customers,26,Low risk
CUS-00041,186,2,44.41,2,1,1,211,Hibernating,54,Medium risk
CUS-00042,378,4,356.32,2,3,3,233,At Risk,57,Medium risk
CUS-00043,48,7,545.04,5,4,4,544,Champions,13,Low risk
CUS-00044,94,5,491.87,3,3,4,334,Potential Loyalists,18,Low risk
CUS-00045,860,3,159.70999999999998,1,2,2,122,Hibernating,92,High risk
CUS-00046,71,4,229.38,4,3,2,432,Potential Loyalists,20,Low risk
CUS-00047,335,3,195.09,2,2,2,222,Hibernating,67,High risk
CUS-00048,104,6,943.71,3,4,5,345,High-Value Customers,33,Low risk
CUS-00049,71,4,379.09000000000003,4,3,3,433,Potential Loyalists,15,Low risk
CUS-00050,64,10,896.4300000000001,4,5,5,455,High-Value Customers,5,Low risk
CUS-00051,22,4,201.42,5,3,2,532,Potential Loyalists,5,Low risk
CUS-00052,538,3,248.72,1,2,3,123,Hibernating,77,High risk
CUS-00053,25,6,468.99,5,4,4,544,Champions,21,Low risk
CUS-00054,193,5,643.78,2,3,4,234,At Risk,54,Medium risk
CUS-00055,87,11,1171.48,3,5,5,355,High-Value Customers,5,Low risk
CUS-00056,64,12,897.5899999999999,4,5,5,455,High-Value Customers,13,Low risk
CUS-00057,574,3,178.24,1,2,2,122,Hibernating,67,High risk
CUS-00058,112,4,275.71000000000004,3,3,3,333,Potential Loyalists,28,Low risk
CUS-00059,84,4,235.14,3,3,2,332,Discount Seekers,30,Low risk
CUS-00060,702,3,373.45000000000005,1,2,3,123,Hibernating,92,High risk
CUS-00061,24,5,342.84000000000003,5,3,3,533,Potential Loyalists,5,Low risk
CUS-00062,50,9,636.4200000000001,4,5,4,454,Champions,20,Low risk
CUS-00063,397,9,535.38,2,5,4,254,At Risk,57,Medium risk
CUS-00064,30,1,20.18,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00065,62,3,161.06,4,2,2,422,Potential Loyalists,5,Low risk
CUS-00066,77,3,283.43,4,2,3,423,Potential Loyalists,5,Low risk
CUS-00067,396,5,435.21,2,3,4,234,At Risk,57,Medium risk
CUS-00068,544,3,193.58,1,2,2,122,Hibernating,67,High risk
CUS-00069,117,7,890.13,3,4,5,345,High-Value Customers,26,Low risk
CUS-00070,155,1,92.21,2,1,1,211,Hibernating,64,Medium risk
CUS-00071,106,1,103.37,3,1,1,311,Potential Loyalists,18,Low risk
CUS-00072,66,4,360.55,4,3,3,433,Potential Loyalists,5,Low risk
CUS-00073,384,1,18.99,2,1,1,211,Hibernating,85,High risk
CUS-00074,75,1,65.34,4,1,1,411,Potential Loyalists,25,Low risk
CUS-00075,107,5,387.34,3,3,3,333,Potential Loyalists,26,Low risk
CUS-00076,41,2,128.91,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00077,21,3,249.25,5,2,3,523,Potential Loyalists,20,Low risk
CUS-00078,40,13,1226.06,5,5,5,555,High-Value Customers,5,Low risk
CUS-00079,706,1,47.49,1,1,1,111,Hibernating,77,High risk
CUS-00080,94,15,1057.32,3,5,5,355,High-Value Customers,18,Low risk
CUS-00081,617,1,22.33,1,1,1,111,Hibernating,77,High risk
CUS-00082,151,6,399.43,2,4,4,244,Discount Seekers,67,High risk
CUS-00083,436,1,26.52,1,1,1,111,Hibernating,85,High risk
CUS-00084,55,4,430.19,4,3,4,434,Potential Loyalists,20,Low risk
CUS-00085,56,3,158.12,4,2,2,422,Potential Loyalists,5,Low risk
CUS-00086,690,3,179.6,1,2,2,122,Hibernating,92,High risk
CUS-00087,416,1,68.44,1,1,1,111,Hibernating,77,High risk
CUS-00088,21,2,145.62,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00089,72,6,616.55,4,4,4,444,Champions,20,Low risk
CUS-00090,44,10,1056.95,5,5,5,555,High-Value Customers,13,Low risk
CUS-00091,20,4,288.81,5,3,3,533,Potential Loyalists,13,Low risk
CUS-00092,42,7,861.17,5,4,5,545,High-Value Customers,5,Low risk
CUS-00093,54,9,627.39,4,5,4,454,Champions,5,Low risk
CUS-00094,51,6,420.14000000000004,4,4,4,444,Champions,5,Low risk
CUS-00095,95,9,1248.53,3,5,5,355,High-Value Customers,18,Low risk
CUS-00096,80,14,1912.08,4,5,5,455,High-Value Customers,5,Low risk
CUS-00097,127,4,402.03999999999996,3,3,4,334,Potential Loyalists,40,Medium risk
CUS-00098,108,2,140.15,3,1,2,312,Potential Loyalists,33,Low risk
CUS-00099,705,1,106.06,1,1,1,111,Hibernating,85,High risk
CUS-00100,191,8,1076.73,2,5,5,255,High-Value Customers,44,Medium risk
CUS-00101,550,4,175.62,1,3,2,132,At Risk,67,High risk
CUS-00102,607,1,154.18,1,1,2,112,Hibernating,77,High risk
CUS-00103,86,1,55.53,3,1,1,311,Potential Loyalists,25,Low risk
CUS-00104,106,7,513.82,3,4,4,344,Loyal Customers,18,Low risk
CUS-00105,70,16,1079.3,4,5,5,455,High-Value Customers,21,Low risk
CUS-00106,898,1,24.14,1,1,1,111,Hibernating,85,High risk
CUS-00107,36,1,76.4,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00108,394,3,87.45,2,2,1,221,Hibernating,57,Medium risk
CUS-00109,36,5,530.47,5,3,4,534,Potential Loyalists,5,Low risk
CUS-00110,64,2,86.03999999999999,4,1,1,411,Potential Loyalists,5,Low risk
CUS-00111,985,3,92.96,1,2,1,121,Hibernating,77,High risk
CUS-00112,26,13,1070.84,5,5,5,555,High-Value Customers,5,Low risk
CUS-00113,431,1,60.96,1,1,1,111,Hibernating,77,High risk
CUS-00114,92,2,155.39,3,1,2,312,Potential Loyalists,33,Low risk
CUS-00115,799,2,135.75,1,1,2,112,Hibernating,77,High risk
CUS-00116,181,2,74.37,2,1,1,211,Hibernating,44,Medium risk
CUS-00117,116,4,588.15,3,3,4,334,Potential Loyalists,43,Medium risk
CUS-00118,67,3,243.51,4,2,2,422,Potential Loyalists,5,Low risk
CUS-00119,101,4,316.53,3,3,3,333,Potential Loyalists,18,Low risk
CUS-00120,615,1,61.48,1,1,1,111,Hibernating,77,High risk
CUS-00121,123,9,518.0699999999999,3,5,4,354,Loyal Customers,30,Low risk
CUS-00122,98,7,935.74,3,4,5,345,High-Value Customers,18,Low risk
CUS-00123,67,6,766.81,4,4,5,445,High-Value Customers,5,Low risk
CUS-00124,54,8,844.95,4,5,5,455,High-Value Customers,5,Low risk
CUS-00125,511,4,100.5,1,3,1,131,At Risk,67,High risk
CUS-00126,35,3,110.22,5,2,1,521,Potential Loyalists,5,Low risk
CUS-00127,205,9,1062.55,2,5,5,255,High-Value Customers,59,Medium risk
CUS-00128,52,5,385.88,4,3,3,433,Potential Loyalists,5,Low risk
CUS-00129,342,7,486.59,2,4,4,244,At Risk,65,High risk
CUS-00130,39,5,450.58000000000004,5,3,4,534,Potential Loyalists,13,Low risk
CUS-00131,56,4,205.58,4,3,2,432,Potential Loyalists,15,Low risk
CUS-00132,447,1,88.28,1,1,1,111,Hibernating,85,High risk
CUS-00133,45,7,847.51,5,4,5,545,High-Value Customers,13,Low risk
CUS-00134,82,5,475.77,4,3,4,434,Discount Seekers,28,Low risk
CUS-00135,87,9,780.73,3,5,5,355,High-Value Customers,20,Low risk
CUS-00136,108,7,679.96,3,4,5,345,High-Value Customers,26,Low risk
CUS-00137,543,2,125.8,1,1,1,111,Hibernating,92,High risk
CUS-00138,467,1,88.53,1,1,1,111,Hibernating,77,High risk
CUS-00139,624,6,179.78,1,4,2,142,At Risk,67,High risk
CUS-00140,42,2,114.81,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00141,45,2,58.95,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00142,420,2,256.94,1,1,3,113,Hibernating,67,High risk
CUS-00143,872,3,213.14,1,2,2,122,Hibernating,77,High risk
CUS-00144,72,9,1512.38,4,5,5,455,High-Value Customers,5,Low risk
CUS-00145,39,17,2558.0699999999997,5,5,5,555,High-Value Customers,5,Low risk
CUS-00146,432,3,219.8,1,2,2,122,Hibernating,67,High risk
CUS-00147,13,4,461.57000000000005,5,3,4,534,Potential Loyalists,20,Low risk
CUS-00148,68,9,780.6,4,5,5,455,High-Value Customers,5,Low risk
CUS-00149,86,6,748.54,3,4,5,345,High-Value Customers,13,Low risk
CUS-00150,445,1,37.58,1,1,1,111,Hibernating,77,High risk
CUS-00151,631,3,251.54000000000002,1,2,3,123,Hibernating,67,High risk
CUS-00152,37,4,242.59,5,3,2,532,Potential Loyalists,5,Low risk
CUS-00153,38,7,541.83,5,4,4,544,Champions,5,Low risk
CUS-00154,84,7,454.02,3,4,4,344,Loyal Customers,5,Low risk
CUS-00155,70,3,291.15,4,2,3,423,Potential Loyalists,5,Low risk
CUS-00156,36,7,612.19,5,4,4,544,Champions,5,Low risk
CUS-00157,34,1,31.94,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00158,595,1,82.65,1,1,1,111,Hibernating,77,High risk
CUS-00159,54,13,1725.81,4,5,5,455,High-Value Customers,5,Low risk
CUS-00160,131,8,786.3499999999999,3,5,5,355,High-Value Customers,30,Low risk
CUS-00161,173,6,710.67,2,4,5,245,High-Value Customers,52,Medium risk
CUS-00162,83,9,546.9200000000001,3,5,4,354,Loyal Customers,13,Low risk
CUS-00163,282,3,138.02,2,2,2,222,Hibernating,77,High risk
CUS-00164,21,8,593.94,5,5,4,554,Champions,20,Low risk
CUS-00165,47,4,406.43,5,3,4,534,Potential Loyalists,23,Low risk
CUS-00166,36,4,162.02,5,3,2,532,Potential Loyalists,5,Low risk
CUS-00167,31,3,259.69,5,2,3,523,Potential Loyalists,5,Low risk
CUS-00168,185,5,365.74,2,3,3,233,At Risk,60,Medium risk
CUS-00169,80,14,1566.74,4,5,5,455,High-Value Customers,13,Low risk
CUS-00170,15,7,496.05,5,4,4,544,Champions,5,Low risk
CUS-00171,724,4,365.94,1,3,3,133,At Risk,67,High risk
CUS-00172,113,7,696.97,3,4,5,345,High-Value Customers,18,Low risk
CUS-00173,400,1,253.66,1,1,3,113,Hibernating,77,High risk
CUS-00174,89,5,462.5,3,3,4,334,Potential Loyalists,13,Low risk
CUS-00175,73,5,708.81,4,3,5,435,Potential Loyalists,5,Low risk
CUS-00176,65,8,614.77,4,5,4,454,Champions,5,Low risk
CUS-00177,43,2,151.7,5,1,2,512,Potential Loyalists,20,Low risk
CUS-00178,116,4,228.88,3,3,2,332,Potential Loyalists,18,Low risk
CUS-00179,62,9,568.88,4,5,4,454,Champions,5,Low risk
CUS-00180,100,6,437.67,3,4,4,344,Discount Seekers,41,Medium risk
CUS-00181,256,6,186.31,2,4,2,242,At Risk,57,Medium risk
CUS-00182,56,6,326.84,4,4,3,443,Loyal Customers,13,Low risk
CUS-00183,38,20,2493.4900000000002,5,5,5,555,High-Value Customers,5,Low risk
CUS-00184,92,6,312.51,3,4,3,343,Loyal Customers,18,Low risk
CUS-00185,186,5,550.9499999999999,2,3,4,234,At Risk,52,Medium risk
CUS-00186,379,6,511.87,2,4,4,244,At Risk,57,Medium risk
CUS-00187,123,9,542.75,3,5,4,354,Loyal Customers,30,Low risk
CUS-00188,188,6,408.81,2,4,4,244,Discount Seekers,52,Medium risk
CUS-00189,98,5,337.27,3,3,3,333,Discount Seekers,26,Low risk
CUS-00190,69,8,718.65,4,5,5,455,High-Value Customers,5,Low risk
CUS-00191,238,6,412.52,2,4,4,244,At Risk,44,Medium risk
CUS-00192,192,3,281.99,2,2,3,223,Hibernating,79,High risk
CUS-00193,270,6,488.43,2,4,4,244,At Risk,57,Medium risk
CUS-00194,75,6,615.26,4,4,4,444,Champions,13,Low risk
CUS-00195,92,6,479.99,3,4,4,344,Discount Seekers,33,Low risk
CUS-00196,576,1,77.07,1,1,1,111,Hibernating,77,High risk
CUS-00197,508,1,35.9,1,1,1,111,Hibernating,85,High risk
CUS-00198,40,2,106.38,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00199,328,3,348.92,2,2,3,223,Hibernating,82,High risk
CUS-00200,162,5,315.88,2,3,3,233,At Risk,44,Medium risk
CUS-00201,30,7,505.04,5,4,4,544,Champions,13,Low risk
CUS-00202,57,1,44.3,4,1,1,411,Potential Loyalists,40,Medium risk
CUS-00203,175,5,281.06,2,3,3,233,Discount Seekers,59,Medium risk
CUS-00204,40,2,218.35,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00205,707,1,72.74,1,1,1,111,Hibernating,77,High risk
CUS-00206,153,12,1126.64,2,5,5,255,High-Value Customers,44,Medium risk
CUS-00207,17,9,1269.01,5,5,5,555,High-Value Customers,5,Low risk
CUS-00208,49,3,240.13,4,2,2,422,Potential Loyalists,20,Low risk
CUS-00209,56,1,89.11,4,1,1,411,Potential Loyalists,5,Low risk
CUS-00210,54,5,925.85,4,3,5,435,Potential Loyalists,13,Low risk
CUS-00211,395,2,137.39,2,1,2,212,Hibernating,77,High risk
CUS-00212,83,5,519.72,3,3,4,334,Potential Loyalists,20,Low risk
CUS-00213,745,3,342.23,1,2,3,123,Hibernating,92,High risk
CUS-00214,109,4,302.28999999999996,3,3,3,333,Potential Loyalists,28,Low risk
CUS-00215,192,3,362.29,2,2,3,223,Hibernating,54,Medium risk
CUS-00216,70,4,247.82999999999998,4,3,3,433,Potential Loyalists,20,Low risk
CUS-00217,112,10,902.27,3,5,5,355,High-Value Customers,18,Low risk
CUS-00218,60,4,266.03,4,3,3,433,Potential Loyalists,13,Low risk
CUS-00219,434,4,274.29,1,3,3,133,At Risk,75,High risk
CUS-00220,72,8,563.99,4,5,4,454,Champions,5,Low risk
CUS-00221,80,8,865.75,4,5,5,455,High-Value Customers,5,Low risk
CUS-00222,68,3,192.49,4,2,2,422,Potential Loyalists,20,Low risk
CUS-00223,768,3,126.39,1,2,1,121,Hibernating,92,High risk
CUS-00224,25,9,815.46,5,5,5,555,High-Value Customers,13,Low risk
CUS-00225,32,10,706.17,5,5,5,555,High-Value Customers,13,Low risk
CUS-00226,219,6,339.78,2,4,3,243,At Risk,52,Medium risk
CUS-00227,10,6,456.18,5,4,4,544,Champions,13,Low risk
CUS-00228,98,2,43.32,3,1,1,311,Potential Loyalists,18,Low risk
CUS-00229,46,2,63.14999999999999,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00230,47,2,135.88,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00231,562,2,209.41,1,1,2,112,Hibernating,77,High risk
CUS-00232,45,2,170.68,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00233,195,6,324.07,2,4,3,243,At Risk,44,Medium risk
CUS-00234,117,4,291.78000000000003,3,3,3,333,Potential Loyalists,33,Low risk
CUS-00235,263,4,361.96,2,3,3,233,At Risk,72,High risk
CUS-00236,30,3,210.99,5,2,2,522,Potential Loyalists,15,Low risk
CUS-00237,276,6,589.29,2,4,4,244,At Risk,57,Medium risk
CUS-00238,542,1,66.52,1,1,1,111,Hibernating,77,High risk
CUS-00239,51,3,231.23000000000002,4,2,2,422,Potential Loyalists,5,Low risk
CUS-00240,92,3,197.88,3,2,2,322,Potential Loyalists,38,Medium risk
CUS-00241,78,2,52.31,4,1,1,411,Potential Loyalists,5,Low risk
CUS-00242,322,3,335.95000000000005,2,2,3,223,Hibernating,57,Medium risk
CUS-00243,62,8,704.59,4,5,5,455,High-Value Customers,5,Low risk
CUS-00244,742,2,62.35,1,1,1,111,Hibernating,85,High risk
CUS-00245,177,9,749.46,2,5,5,255,High-Value Customers,52,Medium risk
CUS-00246,469,5,382.92,1,3,3,133,At Risk,65,High risk
CUS-00247,544,4,408.39,1,3,4,134,At Risk,67,High risk
CUS-00248,107,6,522.7,3,4,4,344,Loyal Customers,18,Low risk
CUS-00249,64,9,688.75,4,5,5,455,High-Value Customers,28,Low risk
CUS-00250,71,6,541.81,4,4,4,444,Champions,5,Low risk
CUS-00251,81,7,438.14,4,4,4,444,Champions,28,Low risk
CUS-00252,22,3,157.71,5,2,2,522,Potential Loyalists,5,Low risk
CUS-00253,108,8,630.51,3,5,4,354,Loyal Customers,18,Low risk
CUS-00254,33,13,2184.45,5,5,5,555,High-Value Customers,13,Low risk
CUS-00255,519,3,236.29,1,2,2,122,Hibernating,92,High risk
CUS-00256,36,3,386.53999999999996,5,2,3,523,Potential Loyalists,5,Low risk
CUS-00257,81,7,1041.85,4,4,5,445,High-Value Customers,20,Low risk
CUS-00258,426,1,38.94,1,1,1,111,Hibernating,77,High risk
CUS-00259,111,12,643.14,3,5,4,354,Discount Seekers,34,Low risk
CUS-00260,13,2,134.74,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00261,39,4,410.65,5,3,4,534,Potential Loyalists,5,Low risk
CUS-00262,78,10,1266.31,4,5,5,455,High-Value Customers,5,Low risk
CUS-00263,473,3,235.28,1,2,2,122,Hibernating,80,High risk
CUS-00264,161,3,269.44,2,2,3,223,Hibernating,64,Medium risk
CUS-00265,63,5,247.27,4,3,2,432,Discount Seekers,13,Low risk
CUS-00266,284,3,177.69,2,2,2,222,Hibernating,57,Medium risk
CUS-00267,57,2,98.34,4,1,1,411,Potential Loyalists,5,Low risk
CUS-00268,289,3,158.32999999999998,2,2,2,222,Hibernating,82,High risk
CUS-00269,58,9,637.59,4,5,4,454,Champions,5,Low risk
CUS-00270,662,2,115.44,1,1,1,111,Hibernating,77,High risk
CUS-00271,29,4,227.16,5,3,2,532,Potential Loyalists,20,Low risk
CUS-00272,43,3,132.2,5,2,1,521,Potential Loyalists,5,Low risk
CUS-00273,64,18,2478.58,4,5,5,455,High-Value Customers,5,Low risk
CUS-00274,53,7,561.97,4,4,4,444,Champions,13,Low risk
CUS-00275,93,7,571.88,3,4,4,344,Discount Seekers,34,Low risk
CUS-00276,77,6,781.55,4,4,5,445,High-Value Customers,13,Low risk
CUS-00277,212,2,142.69,2,1,2,212,Hibernating,54,Medium risk
CUS-00278,85,4,133.9,3,3,2,332,Discount Seekers,35,Medium risk
CUS-00279,114,3,101.58,3,2,1,321,Potential Loyalists,18,Low risk
CUS-00280,78,9,700.0,4,5,5,455,High-Value Customers,5,Low risk
CUS-00281,451,3,87.51,1,2,1,121,Hibernating,65,High risk
CUS-00282,18,1,72.36,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00283,44,4,249.59,5,3,3,533,Potential Loyalists,5,Low risk
CUS-00284,77,9,976.5,4,5,5,455,High-Value Customers,20,Low risk
CUS-00285,372,2,91.44,2,1,1,211,Hibernating,92,High risk
CUS-00286,187,1,43.65,2,1,1,211,Hibernating,62,Medium risk
CUS-00287,246,2,230.48,2,1,2,212,Hibernating,92,High risk
CUS-00288,73,3,171.29000000000002,4,2,2,422,Potential Loyalists,15,Low risk
CUS-00289,80,4,331.81,4,3,3,433,Potential Loyalists,30,Low risk
CUS-00290,858,1,18.59,1,1,1,111,Hibernating,85,High risk
CUS-00291,115,6,521.86,3,4,4,344,Loyal Customers,26,Low risk
CUS-00292,50,7,227.26999999999998,4,4,2,442,Loyal Customers,13,Low risk
CUS-00293,134,4,333.56,3,3,3,333,Potential Loyalists,30,Low risk
CUS-00294,36,2,187.58999999999997,5,1,2,512,Discount Seekers,28,Low risk
CUS-00295,66,11,1059.74,4,5,5,455,High-Value Customers,5,Low risk
CUS-00296,60,3,260.79,4,2,3,423,Potential Loyalists,5,Low risk
CUS-00297,47,3,134.56,5,2,2,522,Potential Loyalists,5,Low risk
CUS-00298,311,4,260.11,2,3,3,233,At Risk,57,Medium risk
CUS-00299,109,3,515.62,3,2,4,324,Potential Loyalists,33,Low risk
CUS-00300,864,2,226.73,1,1,2,112,Hibernating,77,High risk
CUS-00301,108,3,205.39,3,2,2,322,Potential Loyalists,18,Low risk
CUS-00302,239,3,168.91,2,2,2,222,Hibernating,54,Medium risk
CUS-00303,42,6,386.86,5,4,3,543,Loyal Customers,5,Low risk
CUS-00304,30,6,297.09000000000003,5,4,3,543,Loyal Customers,5,Low risk
CUS-00305,53,3,160.16,4,2,2,422,Potential Loyalists,5,Low risk
CUS-00306,110,7,476.07000000000005,3,4,4,344,Loyal Customers,18,Low risk
CUS-00307,48,16,1417.02,5,5,5,555,High-Value Customers,5,Low risk
CUS-00308,343,1,160.91,2,1,2,212,Hibernating,77,High risk
CUS-00309,69,8,629.26,4,5,4,454,Champions,5,Low risk
CUS-00310,26,16,1223.74,5,5,5,555,High-Value Customers,5,Low risk
CUS-00311,15,6,342.07,5,4,3,543,Discount Seekers,13,Low risk
CUS-00312,152,6,409.61,2,4,4,244,At Risk,52,Medium risk
CUS-00313,598,1,22.53,1,1,1,111,Hibernating,77,High risk
CUS-00314,49,8,707.46,4,5,5,455,High-Value Customers,5,Low risk
CUS-00315,58,10,1838.09,4,5,5,455,High-Value Customers,5,Low risk
CUS-00316,613,4,314.19,1,3,3,133,At Risk,82,High risk
CUS-00317,188,6,411.43,2,4,4,244,Discount Seekers,67,High risk
CUS-00318,674,3,392.55,1,2,3,123,Hibernating,77,High risk
CUS-00319,47,1,78.21,5,1,1,511,Potential Loyalists,20,Low risk
CUS-00320,25,2,182.05,5,1,2,512,Potential Loyalists,20,Low risk
CUS-00321,169,5,748.23,2,3,5,235,At Risk,69,High risk
CUS-00322,38,2,90.28,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00323,105,2,244.51999999999998,3,1,2,312,Potential Loyalists,38,Medium risk
CUS-00324,155,5,590.74,2,3,4,234,At Risk,44,Medium risk
CUS-00325,40,9,1057.04,5,5,5,555,High-Value Customers,20,Low risk
CUS-00326,214,1,68.37,2,1,1,211,Hibernating,79,High risk
CUS-00327,383,2,155.95,2,1,2,212,Hibernating,82,High risk
CUS-00328,73,4,304.28999999999996,4,3,3,433,Potential Loyalists,28,Low risk
CUS-00329,158,2,485.2,2,1,4,214,Hibernating,54,Medium risk
CUS-00330,38,6,621.98,5,4,4,544,Champions,28,Low risk
CUS-00331,47,9,634.98,5,5,4,554,Champions,28,Low risk
CUS-00332,152,11,962.01,2,5,5,255,High-Value Customers,52,Medium risk
CUS-00333,86,7,904.52,3,4,5,345,High-Value Customers,20,Low risk
CUS-00334,236,1,62.9,2,1,1,211,Hibernating,72,High risk
CUS-00335,87,14,1189.55,3,5,5,355,High-Value Customers,5,Low risk
CUS-00336,20,4,169.20000000000002,5,3,2,532,Potential Loyalists,5,Low risk
CUS-00337,27,11,717.24,5,5,5,555,High-Value Customers,21,Low risk
CUS-00338,26,3,267.78999999999996,5,2,3,523,Potential Loyalists,5,Low risk
CUS-00339,106,6,341.09,3,4,3,343,Loyal Customers,18,Low risk
CUS-00340,121,1,15.41,3,1,1,311,Potential Loyalists,30,Low risk
CUS-00341,51,21,1885.71,4,5,5,455,High-Value Customers,13,Low risk
CUS-00342,101,7,1024.32,3,4,5,345,High-Value Customers,26,Low risk
CUS-00343,38,5,344.68,5,3,3,533,Potential Loyalists,5,Low risk
CUS-00344,79,4,243.59,4,3,2,432,Potential Loyalists,5,Low risk
CUS-00345,79,5,514.07,4,3,4,434,Potential Loyalists,13,Low risk
CUS-00346,49,12,1281.13,4,5,5,455,High-Value Customers,20,Low risk
CUS-00347,128,4,309.45,3,3,3,333,Potential Loyalists,40,Medium risk
CUS-00348,81,6,409.74,4,4,4,444,Champions,13,Low risk
CUS-00349,701,2,74.44,1,1,1,111,Hibernating,77,High risk
CUS-00350,62,3,279.58,4,2,3,423,Potential Loyalists,30,Low risk
CUS-00351,64,9,1213.01,4,5,5,455,High-Value Customers,5,Low risk
CUS-00352,29,6,428.91999999999996,5,4,4,544,Champions,28,Low risk
CUS-00353,204,5,357.15,2,3,3,233,At Risk,52,Medium risk
CUS-00354,65,8,589.87,4,5,4,454,Champions,20,Low risk
CUS-00355,676,2,145.62,1,1,2,112,Hibernating,77,High risk
CUS-00356,26,2,132.41,5,1,2,512,Potential Loyalists,5,Low risk
CUS-00357,31,3,372.93,5,2,3,523,Potential Loyalists,20,Low risk
CUS-00358,35,9,562.91,5,5,4,554,Champions,20,Low risk
CUS-00359,91,6,516.78,3,4,4,344,Loyal Customers,18,Low risk
CUS-00360,887,2,238.98000000000002,1,1,2,112,Hibernating,85,High risk
CUS-00361,34,1,73.59,5,1,1,511,Potential Loyalists,5,Low risk
CUS-00362,42,3,301.52,5,2,3,523,Potential Loyalists,20,Low risk
CUS-00363,228,3,292.98,2,2,3,223,Hibernating,54,Medium risk
CUS-00364,80,1,51.44,4,1,1,411,Potential Loyalists,25,Low risk
CUS-00365,175,3,394.79,2,2,3,223,Hibernating,44,Medium risk
CUS-00366,34,13,1261.64,5,5,5,555,High-Value Customers,5,Low risk
CUS-00367,102,10,967.59,3,5,5,355,High-Value Customers,18,Low risk
CUS-00368,581,5,329.82,1,3,3,133,At Risk,57,Medium risk
