order_id,customer_id,order_date,product_category,revenue,cost,profit,discount_amount,quantity,return_flag,campaign_id,channel,device_type,country
ORD-000073,CUS-00013,2025-08-03,Sportswear,74.32,63.98,10.34,37.92,2,0,CMP-081,Google Search,Mobile,Netherlands
ORD-000074,CUS-00013,2025-10-05,Sportswear,107.0,81.83,25.17,36.57,2,0,CMP-044,Email,Mobile,Netherlands
ORD-000075,CUS-00014,2024-10-05,Accessories,25.31,17.07,8.24,12.62,1,0,CMP-070,Organic Search,Mobile,Italy
ORD-000076,CUS-00014,2025-02-16,Dresses,42.92,29.36,13.56,10.46,1,0,CMP-118,Email,Mobile,Italy
ORD-000077,CUS-00014,2025-03-27,Shoes,40.62,30.69,9.93,12.3,1,0,CMP-070,Organic Search,Mobile,Italy
ORD-000078,CUS-00014,2025-05-20,Dresses,61.95,40.93,21.02,12.46,1,0,CMP-120,Google Search,Mobile,Italy
ORD-000079,CUS-00014,2025-05-25,Dresses,67.43,44.37,23.06,13.24,1,0,CMP-069,Affiliate,Mobile,Italy
ORD-000080,CUS-00014,2025-07-07,Bags,59.03,39.05,19.98,14.65,1,0,CMP-118,Email,Mobile,Italy
ORD-000081,CUS-00014,2025-09-06,Dresses,46.62,36.7,6.35,20.11,1,1,CMP-118,Email,Mobile,Italy
ORD-000082,CUS-00014,2025-09-25,Dresses,53.81,37.29,16.53,13.98,1,0,CMP-005,Meta Ads,Mobile,Italy
ORD-000083,CUS-00014,2025-10-19,Dresses,53.49,40.25,13.24,19.7,1,0,CMP-069,Affiliate,Mobile,Italy
ORD-000084,CUS-00015,2024-06-19,Jackets,112.28,73.47,38.81,10.17,1,0,CMP-109,TikTok Ads,Mobile,Germany
ORD-000085,CUS-00015,2024-11-12,Beauty,24.16,11.45,12.71,3.1,1,0,CMP-022,Email,Mobile,Germany
ORD-000086,CUS-00015,2024-12-11,Beauty,37.91,18.06,19.85,5.1,2,0,CMP-025,Meta Ads,Mobile,Germany
ORD-000087,CUS-00015,2025-09-22,Jeans,63.07,48.26,14.81,14.77,1,0,CMP-083,Email,Mobile,Germany
ORD-000088,CUS-00016,2025-08-30,Bags,256.9,153.16,103.74,32.08,2,0,CMP-001,Google Search,Desktop,Germany
ORD-000089,CUS-00016,2025-10-28,Beauty,36.88,18.67,18.21,7.58,1,0,CMP-103,Organic Search,Desktop,Germany
ORD-000090,CUS-00017,2025-11-07,Sportswear,134.81,87.91,46.9,19.42,2,0,CMP-048,Affiliate,Mobile,Germany
ORD-000091,CUS-00017,2025-11-30,Sportswear,107.94,71.01,36.93,16.65,2,0,CMP-054,Google Search,Mobile,Germany
ORD-000092,CUS-00018,2024-08-22,Bags,144.36,87.02,57.35,19.82,2,0,CMP-056,Organic Search,Desktop,Germany
ORD-000093,CUS-00018,2024-08-23,Bags,92.5,52.32,40.18,6.22,1,0,CMP-090,Organic Search,Desktop,Germany
ORD-000094,CUS-00019,2024-09-21,Accessories,36.75,19.2,17.55,5.92,1,0,CMP-066,Google Search,Mobile,Spain
ORD-000095,CUS-00019,2024-09-21,Accessories,26.18,12.62,13.57,1.85,1,0,CMP-052,Display Ads,Mobile,Spain
ORD-000096,CUS-00019,2025-05-30,Accessories,34.79,16.99,17.8,2.97,1,0,CMP-067,Email,Mobile,Spain
ORD-000097,CUS-00019,2025-07-02,Accessories,45.23,24.06,21.16,8.24,2,0,CMP-037,Organic Search,Mobile,Spain
ORD-000098,CUS-00019,2025-10-05,Dresses,142.68,89.99,52.7,20.93,2,0,CMP-007,Email,Mobile,Spain
ORD-000099,CUS-00019,2025-10-10,Accessories,104.96,53.48,51.48,13.89,3,0,CMP-066,Google Search,Mobile,Spain
ORD-000100,CUS-00020,2024-04-14,Beauty,32.27,14.52,13.06,2.3,1,1,CMP-115,Email,Mobile,Poland
ORD-000101,CUS-00020,2025-02-26,Jeans,58.07,40.02,18.04,6.49,1,0,CMP-018,Meta Ads,Mobile,Poland
ORD-000102,CUS-00020,2025-03-07,Shoes,64.11,37.88,26.24,1.19,1,0,CMP-077,Organic Search,Mobile,Poland
ORD-000103,CUS-00020,2025-06-11,Jackets,174.13,121.24,52.89,27.94,2,0,CMP-097,Display Ads,Mobile,Poland
ORD-000104,CUS-00020,2025-11-04,Jeans,56.21,38.1,11.24,5.23,1,1,CMP-077,Organic Search,Mobile,Poland
ORD-000105,CUS-00021,2025-09-04,Dresses,49.8,35.92,13.88,15.51,1,0,CMP-107,Meta Ads,Tablet,Germany
ORD-000106,CUS-00021,2025-09-09,Dresses,54.18,35.94,13.53,11.16,1,1,CMP-040,TikTok Ads,Tablet,Germany
ORD-000107,CUS-00021,2025-09-26,Beauty,36.81,20.22,16.59,11.33,2,0,CMP-083,Email,Tablet,Germany
ORD-000108,CUS-00021,2025-09-30,Accessories,35.9,23.43,12.47,16.17,1,0,CMP-040,TikTok Ads,Tablet,Germany
ORD-000109,CUS-00021,2025-10-04,Dresses,34.22,25.73,8.49,12.57,1,0,CMP-119,Affiliate,Tablet,Germany
ORD-000110,CUS-00021,2025-10-29,Dresses,50.13,34.64,15.5,12.85,1,0,CMP-107,Meta Ads,Tablet,Germany
ORD-000111,CUS-00021,2025-11-01,Shoes,199.5,153.91,45.59,65.86,2,0,CMP-076,Email,Tablet,Germany
ORD-000112,CUS-00021,2025-11-13,Dresses,48.98,34.66,14.32,14.04,1,0,CMP-103,Organic Search,Tablet,Germany
ORD-000113,CUS-00021,2025-11-23,Jackets,79.76,64.0,9.31,26.91,1,1,CMP-107,Meta Ads,Tablet,Germany
ORD-000114,CUS-00021,2025-12-12,Dresses,56.55,41.97,14.58,19.76,1,0,CMP-083,Email,Tablet,Germany
ORD-000115,CUS-00022,2025-01-18,Shoes,64.75,50.23,9.41,21.85,1,1,CMP-100,Google Search,Desktop,UK
ORD-000116,CUS-00022,2025-04-21,Shoes,49.54,35.18,14.36,11.12,1,0,CMP-100,Google Search,Desktop,UK
ORD-000117,CUS-00022,2025-07-12,Shoes,147.38,108.98,38.4,40.51,2,0,CMP-011,Email,Desktop,UK
ORD-000118,CUS-00022,2025-09-21,Sportswear,66.5,48.95,17.54,19.39,1,0,CMP-049,Google Search,Desktop,UK
ORD-000119,CUS-00022,2025-10-27,Shoes,55.43,48.19,7.24,27.66,1,0,CMP-071,Display Ads,Desktop,UK
ORD-000120,CUS-00023,2024-06-09,Shoes,114.73,85.35,29.37,32.43,2,0,CMP-109,TikTok Ads,Mobile,Germany
ORD-000121,CUS-00023,2025-07-08,Shoes,44.74,38.64,6.1,21.89,1,0,CMP-062,TikTok Ads,Mobile,Germany
ORD-000122,CUS-00023,2025-08-12,Shoes,67.63,51.62,16.01,21.37,1,0,CMP-083,Email,Mobile,Germany
ORD-000123,CUS-00023,2025-10-13,Dresses,204.36,136.67,67.69,44.13,3,0,CMP-083,Email,Mobile,Germany
ORD-000124,CUS-00023,2025-10-24,Shoes,50.43,39.68,10.75,17.98,1,0,CMP-083,Email,Mobile,Germany
ORD-000125,CUS-00023,2025-11-27,Shoes,62.68,46.17,16.51,16.92,1,0,CMP-058,Display Ads,Mobile,Germany
ORD-000126,CUS-00024,2024-03-05,Jackets,359.7,232.41,119.45,27.65,2,1,CMP-003,TikTok Ads,Mobile,Italy
ORD-000127,CUS-00024,2024-07-29,Jackets,216.76,130.34,86.42,0.47,2,0,CMP-092,Meta Ads,Mobile,Italy
ORD-000128,CUS-00024,2024-10-31,Jackets,140.45,90.95,49.5,11.13,1,0,CMP-117,Organic Search,Mobile,Italy
ORD-000129,CUS-00024,2024-11-01,Jackets,123.08,78.54,44.54,7.82,1,0,CMP-118,Email,Mobile,Italy
ORD-000130,CUS-00024,2025-01-08,Jackets,96.33,59.72,36.61,3.21,1,0,CMP-070,Organic Search,Mobile,Italy
ORD-000131,CUS-00024,2025-03-10,Jackets,102.47,61.58,40.9,0.16,1,0,CMP-070,Organic Search,Mobile,Italy
ORD-000132,CUS-00024,2025-04-12,Jackets,97.79,62.88,32.21,7.0,1,1,CMP-117,Organic Search,Mobile,Italy
ORD-000133,CUS-00024,2025-07-13,Jeans,154.54,98.84,55.7,4.88,3,0,CMP-068,Affiliate,Mobile,Italy
ORD-000134,CUS-00024,2025-07-22,Sportswear,54.23,32.83,21.4,3.37,1,0,CMP-092,Meta Ads,Mobile,Italy
ORD-000135,CUS-00024,2025-10-19,Jackets,145.28,90.89,54.39,6.2,1,0,CMP-005,Meta Ads,Mobile,Italy
ORD-000136,CUS-00025,2024-01-31,Shoes,80.95,60.02,20.93,22.53,1,0,CMP-037,Organic Search,Mobile,Spain
ORD-000137,CUS-00026,2024-08-31,Shoes,97.37,75.03,22.34,31.99,2,0,CMP-080,Affiliate,Desktop,Germany
ORD-000138,CUS-00026,2024-09-02,Jeans,86.79,67.1,19.69,21.44,1,0,CMP-099,TikTok Ads,Desktop,Germany
ORD-000139,CUS-00026,2024-09-13,Shoes,138.39,89.8,44.39,16.44,2,1,CMP-001,Google Search,Desktop,Germany
ORD-000140,CUS-00027,2024-11-28,Jeans,82.19,58.5,23.69,12.16,1,0,CMP-033,Affiliate,Mobile,UK
ORD-000141,CUS-00028,2025-11-06,Accessories,49.22,23.4,25.82,2.79,1,0,CMP-110,Google Search,Desktop,UK
ORD-000142,CUS-00028,2025-11-10,Accessories,36.95,17.71,19.23,2.42,1,0,CMP-094,Email,Desktop,UK
ORD-000143,CUS-00029,2025-09-24,Shoes,80.15,52.02,28.14,9.53,1,0,CMP-035,Meta Ads,Desktop,Germany
ORD-000144,CUS-00030,2025-02-18,Sportswear,148.77,94.16,50.67,16.43,3,1,CMP-034,Email,Desktop,Spain
ORD-000145,CUS-00030,2025-03-14,Jeans,129.9,87.01,34.58,10.43,2,1,CMP-088,Google Search,Desktop,Spain
ORD-000146,CUS-00031,2024-10-24,Jeans,53.42,37.79,15.63,7.53,1,0,CMP-037,Organic Search,Mobile,Spain
ORD-000147,CUS-00031,2024-11-13,Bags,72.59,46.36,26.24,14.87,1,0,CMP-098,Email,Mobile,Spain
ORD-000148,CUS-00031,2025-01-10,Jeans,36.83,29.88,2.02,11.36,1,1,CMP-066,Google Search,Mobile,Spain
ORD-000149,CUS-00032,2025-05-31,Bags,77.29,46.16,31.12,9.81,1,0,CMP-039,TikTok Ads,Mobile,France
ORD-000150,CUS-00032,2025-06-08,Beauty,17.54,8.94,8.6,3.75,1,0,CMP-039,TikTok Ads,Mobile,France
ORD-000151,CUS-00032,2025-06-28,Shoes,68.92,46.18,22.74,10.7,1,0,CMP-047,Organic Search,Mobile,France
ORD-000152,CUS-00032,2025-11-02,Shoes,189.65,116.55,67.45,11.31,2,1,CMP-050,Meta Ads,Mobile,France
ORD-000153,CUS-00033,2025-04-04,Shoes,86.76,55.22,31.53,8.46,1,0,CMP-083,Email,Mobile,Germany
ORD-000154,CUS-00033,2025-05-20,Accessories,43.32,22.87,20.45,7.49,1,0,CMP-048,Affiliate,Mobile,Germany
ORD-000155,CUS-00033,2025-06-23,Shoes,241.87,143.35,98.52,5.28,2,0,CMP-045,Meta Ads,Mobile,Germany
ORD-000156,CUS-00033,2025-10-25,Beauty,24.2,11.51,12.68,3.22,1,0,CMP-087,Organic Search,Mobile,Germany
ORD-000157,CUS-00033,2025-10-29,Shoes,187.35,109.87,77.48,2.08,2,0,CMP-083,Email,Mobile,Germany
ORD-000158,CUS-00033,2025-12-07,Shoes,106.21,62.89,43.33,2.21,1,0,CMP-083,Email,Mobile,Germany
ORD-000159,CUS-00034,2023-03-22,Dresses,56.61,40.8,15.81,17.57,1,0,CMP-113,Google Search,Mobile,France
ORD-000160,CUS-00034,2023-04-23,Dresses,101.58,60.74,40.84,8.85,2,0,CMP-047,Organic Search,Mobile,France
ORD-000161,CUS-00034,2024-04-08,Bags,96.25,58.61,37.64,14.33,1,0,CMP-108,Email,Mobile,France
ORD-000162,CUS-00034,2024-04-17,Jackets,98.04,74.22,23.82,25.65,1,0,CMP-104,TikTok Ads,Mobile,France
ORD-000163,CUS-00034,2024-08-18,Accessories,27.38,15.33,12.05,6.69,1,0,CMP-086,Meta Ads,Mobile,France
ORD-000164,CUS-00035,2024-10-30,Sportswear,81.23,49.47,31.76,5.56,1,0,CMP-048,Affiliate,Mobile,Germany
ORD-000165,CUS-00035,2024-12-16,Sportswear,58.91,41.69,17.22,14.23,1,0,CMP-062,TikTok Ads,Mobile,Germany
ORD-000166,CUS-00035,2025-01-11,Sportswear,136.62,86.11,50.51,14.45,2,0,CMP-109,TikTok Ads,Mobile,Germany
ORD-000167,CUS-00035,2025-04-17,Dresses,41.54,28.36,13.18,10.02,1,0,CMP-022,Email,Mobile,Germany
ORD-000168,CUS-00035,2025-05-10,Sportswear,123.18,78.42,44.76,14.39,2,0,CMP-054,Google Search,Mobile,Germany
ORD-000169,CUS-00035,2025-06-21,Beauty,25.46,11.76,13.69,2.55,1,0,CMP-083,Email,Mobile,Germany
ORD-000170,CUS-00035,2025-07-08,Sportswear,62.24,42.37,19.87,12.09,1,0,CMP-016,Organic Search,Mobile,Germany
ORD-000171,CUS-00036,2025-02-05,Dresses,167.04,106.76,60.27,27.08,2,0,CMP-063,Affiliate,Mobile,Germany
ORD-000172,CUS-00036,2025-02-11,Jackets,307.48,196.47,111.0,19.98,2,0,CMP-045,Meta Ads,Mobile,Germany
ORD-000173,CUS-00036,2025-08-10,Jeans,63.93,44.52,12.5,7.88,1,1,CMP-083,Email,Mobile,Germany
ORD-000174,CUS-00036,2025-08-24,Dresses,83.58,53.9,29.68,14.42,1,0,CMP-073,Organic Search,Mobile,Germany
ORD-000175,CUS-00037,2024-03-21,Beauty,41.77,19.34,22.43,4.28,2,0,CMP-022,Email,Mobile,Germany
ORD-000176,CUS-00038,2025-02-25,Dresses,81.8,66.18,15.62,38.53,2,0,CMP-077,Organic Search,Mobile,Poland
ORD-000177,CUS-00038,2025-04-10,Shoes,64.17,47.29,16.88,17.36,1,0,CMP-111,TikTok Ads,Mobile,Poland
ORD-000178,CUS-00038,2025-04-14,Dresses,48.06,36.33,11.73,17.99,1,0,CMP-018,Meta Ads,Mobile,Poland
ORD-000179,CUS-00038,2025-07-19,Dresses,61.34,43.14,18.21,17.09,1,0,CMP-094,Email,Mobile,Poland
ORD-000180,CUS-00038,2025-11-15,Dresses,67.35,53.18,11.53,29.34,1,1,CMP-032,Google Search,Mobile,Poland
ORD-000181,CUS-00038,2025-12-02,Dresses,70.05,52.34,17.71,25.12,1,0,CMP-077,Organic Search,Mobile,Poland
ORD-000182,CUS-00039,2024-05-03,Shoes,103.87,64.85,32.33,7.93,2,1,CMP-022,Email,Mobile,Germany
ORD-000183,CUS-00039,2024-08-09,Shoes,64.84,39.33,25.51,2.97,1,0,CMP-054,Google Search,Mobile,Germany
ORD-000184,CUS-00039,2024-10-11,Shoes,121.28,75.33,45.95,8.6,1,0,CMP-045,Meta Ads,Mobile,Germany
ORD-000185,CUS-00039,2025-01-23,Bags,96.49,56.05,40.44,9.26,1,0,CMP-083,Email,Mobile,Germany
ORD-000186,CUS-00039,2025-02-20,Shoes,61.49,39.72,21.78,6.99,1,0,CMP-083,Email,Mobile,Germany
ORD-000187,CUS-00039,2025-02-21,Beauty,24.89,11.58,13.3,2.69,1,0,CMP-087,Organic Search,Mobile,Germany
ORD-000188,CUS-00040,2024-07-03,Bags,192.59,106.07,86.53,7.53,2,0,CMP-011,Email,Mobile,Spain
ORD-000189,CUS-00040,2024-09-27,Sportswear,77.41,49.5,27.91,9.43,1,0,CMP-037,Organic Search,Mobile,Spain
ORD-000190,CUS-00040,2025-01-01,Jackets,124.65,75.21,49.44,0.7,1,0,CMP-095,Affiliate,Mobile,Spain
ORD-000191,CUS-00040,2025-01-16,Sportswear,47.94,29.81,18.13,4.36,1,0,CMP-029,Email,Mobile,Spain
ORD-000192,CUS-00040,2025-04-09,Sportswear,45.88,29.52,16.36,5.91,1,0,CMP-037,Organic Search,Mobile,Spain
ORD-000193,CUS-00040,2025-08-26,Dresses,50.92,30.18,16.97,3.96,1,1,CMP-015,Email,Mobile,Spain
ORD-000194,CUS-00040,2025-09-16,Sportswear,187.57,110.48,77.09,6.26,2,0,CMP-066,Google Search,Mobile,Spain
ORD-000195,CUS-00041,2024-12-01,Accessories,21.59,11.6,10.0,4.18,1,0,CMP-066,Google Search,Mobile,Spain
ORD-000196,CUS-00041,2025-06-29,Accessories,22.82,12.25,10.57,4.4,1,0,CMP-066,Google Search,Mobile,Spain
ORD-000197,CUS-00042,2024-12-19,Shoes,75.11,52.18,22.93,14.86,1,0,CMP-110,Google Search,Mobile,UK
ORD-000198,CUS-00042,2024-12-19,Shoes,75.57,53.26,22.31,16.25,1,0,CMP-100,Google Search,Mobile,UK
ORD-000199,CUS-00042,2024-12-19,Shoes,152.83,105.9,46.93,29.75,2,0,CMP-093,Meta Ads,Mobile,UK
ORD-000200,CUS-00042,2024-12-19,Shoes,52.81,35.88,16.93,9.05,1,0,CMP-053,Organic Search,Mobile,UK
ORD-000201,CUS-00043,2024-11-28,Dresses,66.12,50.96,15.16,26.53,1,0,CMP-014,Meta Ads,Desktop,UK
ORD-000202,CUS-00043,2025-04-09,Jackets,167.85,125.34,42.51,41.05,2,0,CMP-014,Meta Ads,Desktop,UK
ORD-000203,CUS-00043,2025-04-23,Shoes,47.82,41.18,6.63,23.19,1,0,CMP-094,Email,Desktop,UK
ORD-000204,CUS-00043,2025-05-23,Jackets,100.22,86.5,13.72,43.95,1,0,CMP-100,Google Search,Desktop,UK
ORD-000205,CUS-00043,2025-07-18,Shoes,49.33,40.71,8.62,20.86,1,0,CMP-060,TikTok Ads,Desktop,UK
ORD-000206,CUS-00043,2025-07-24,Dresses,46.03,35.04,10.99,17.68,1,0,CMP-116,TikTok Ads,Desktop,UK
ORD-000207,CUS-00043,2025-11-14,Jeans,67.67,55.95,11.72,22.58,1,0,CMP-091,Email,Desktop,UK
ORD-000208,CUS-00044,2024-12-25,Shoes,83.2,48.46,34.74,0.35,1,0,CMP-108,Email,Mobile,France
ORD-000209,CUS-00044,2025-04-14,Shoes,195.28,131.69,63.59,31.78,3,0,CMP-108,Email,Mobile,France
ORD-000210,CUS-00044,2025-07-19,Shoes,64.9,38.21,26.7,0.97,1,0,CMP-047,Organic Search,Mobile,France
