customer_id,age_group,gender,country,customer_type,acquisition_channel,signup_date,product_category_preference,device_type,latent_business_profile
CUS-00023,35-44,Male,Germany,Returning,Google Search,2024-02-10,Shoes,Mobile,Discount Seekers
CUS-00024,35-44,Female,Italy,Returning,Google Search,2023-07-20,Jackets,Mobile,High-Value Customers
CUS-00025,25-34,Male,Spain,Returning,Google Search,2023-11-06,Accessories,Mobile,Hibernating
CUS-00026,25-34,Female,Germany,Returning,Google Search,2024-08-22,Shoes,Desktop,Hibernating
CUS-00027,35-44,Male,UK,Returning,Affiliate,2024-11-28,Jeans,Mobile,Hibernating
CUS-00028,18-24,Female,UK,New,TikTok Ads,2025-10-30,Accessories,Desktop,New Customers
CUS-00029,18-24,Non-binary/Other,Germany,New,Affiliate,2025-08-28,Shoes,Desktop,New Customers
CUS-00030,25-34,Male,Spain,Returning,Google Search,2023-06-01,Jeans,Desktop,Loyal Customers
CUS-00031,25-34,Male,Spain,Returning,TikTok Ads,2024-09-16,Jeans,Mobile,At Risk
CUS-00032,25-34,Female,France,Returning,Affiliate,2025-05-03,Shoes,Mobile,Potential Loyalists
CUS-00033,25-34,Female,Germany,Returning,Meta Ads,2024-10-03,Shoes,Mobile,Loyal Customers
CUS-00034,35-44,Male,France,Returning,Meta Ads,2023-02-09,Dresses,Mobile,At Risk
CUS-00035,35-44,Male,Germany,Returning,Google Search,2024-03-22,Sportswear,Mobile,Potential Loyalists
CUS-00036,55+,Female,Germany,Returning,Meta Ads,2024-10-03,Dresses,Mobile,Loyal Customers
CUS-00037,25-34,Female,Germany,Returning,Email,2024-01-16,Accessories,Mobile,Hibernating
CUS-00038,45-54,Female,Poland,Returning,Organic Search,2024-12-09,Dresses,Mobile,Discount Seekers
CUS-00039,45-54,Female,Germany,Returning,Email,2023-04-17,Shoes,Mobile,Loyal Customers
CUS-00040,35-44,Male,Spain,Returning,Email,2024-03-03,Sportswear,Mobile,Champions
CUS-00041,55+,Male,Spain,Returning,TikTok Ads,2024-05-31,Accessories,Mobile,Potential Loyalists
CUS-00042,18-24,Female,UK,Returning,Email,2024-12-19,Shoes,Mobile,Hibernating
CUS-00043,18-24,Female,UK,Returning,Google Search,2024-05-30,Dresses,Desktop,Discount Seekers
CUS-00044,25-34,Female,France,Returning,Organic Search,2024-10-29,Shoes,Mobile,Loyal Customers
CUS-00045,35-44,Female,Spain,Returning,Display Ads,2023-05-18,Jeans,Mobile,Hibernating
CUS-00046,25-34,Female,Germany,Returning,Google Search,2025-01-30,Accessories,Mobile,Loyal Customers
CUS-00047,25-34,Female,Italy,Returning,Google Search,2024-08-09,Shoes,Mobile,Potential Loyalists
CUS-00048,35-44,Female,Spain,Returning,Google Search,2023-07-28,Jackets,Mobile,High-Value Customers
CUS-00049,18-24,Female,Germany,Returning,Google Search,2023-09-13,Accessories,Mobile,Loyal Customers
CUS-00050,25-34,Male,Germany,Returning,Google Search,2024-08-25,Shoes,Desktop,Loyal Customers
CUS-00051,45-54,Female,Italy,New,Organic Search,2025-12-10,Accessories,Mobile,New Customers
CUS-00052,35-44,Male,Germany,Returning,TikTok Ads,2023-05-19,Bags,Mobile,At Risk
CUS-00053,18-24,Female,Netherlands,Returning,Meta Ads,2024-01-10,Sportswear,Mobile,Discount Seekers
CUS-00054,35-44,Female,France,Returning,Email,2023-02-16,Bags,Mobile,High-Value Customers
CUS-00055,18-24,Male,Germany,Returning,Meta Ads,2024-10-04,Jackets,Mobile,Champions
CUS-00056,35-44,Female,Netherlands,Returning,Email,2023-12-08,Dresses,Desktop,Loyal Customers
CUS-00057,18-24,Non-binary/Other,Spain,Returning,Email,2023-07-21,Beauty,Mobile,Hibernating
CUS-00058,35-44,Female,Italy,Returning,Meta Ads,2024-02-01,Sportswear,Mobile,Potential Loyalists
CUS-00059,18-24,Female,Spain,Returning,TikTok Ads,2023-08-02,Dresses,Tablet,Discount Seekers
CUS-00060,45-54,Female,Spain,Returning,Display Ads,2023-06-24,Shoes,Desktop,At Risk
CUS-00061,35-44,Female,Germany,Returning,Affiliate,2025-01-31,Shoes,Desktop,Loyal Customers
CUS-00062,18-24,Male,Germany,Returning,Google Search,2025-07-04,Dresses,Desktop,Discount Seekers
CUS-00063,25-34,Female,UK,Returning,Meta Ads,2023-05-04,Accessories,Desktop,Loyal Customers
CUS-00064,25-34,Female,UK,New,Google Search,2025-11-21,Sportswear,Mobile,New Customers
CUS-00065,45-54,Female,Italy,New,Meta Ads,2025-09-06,Beauty,Desktop,New Customers
CUS-00066,25-34,Female,Spain,New,Google Search,2025-10-03,Sportswear,Mobile,New Customers
CUS-00067,45-54,Female,France,Returning,TikTok Ads,2024-03-01,Jeans,Mobile,At Risk
CUS-00068,45-54,Male,France,Returning,Meta Ads,2024-03-24,Dresses,Desktop,At Risk
CUS-00069,25-34,Female,Germany,Returning,Google Search,2023-09-13,Dresses,Mobile,High-Value Customers
CUS-00070,18-24,Male,Spain,Returning,Organic Search,2023-11-09,Jackets,Mobile,High-Value Customers
CUS-00071,18-24,Male,UK,New,Meta Ads,2025-09-01,Shoes,Tablet,New Customers
CUS-00072,25-34,Male,Germany,Returning,Google Search,2025-03-24,Sportswear,Mobile,Champions
CUS-00073,35-44,Female,Germany,Returning,Display Ads,2024-12-13,Accessories,Mobile,Hibernating
CUS-00074,25-34,Female,France,Returning,Email,2023-12-31,Bags,Desktop,High-Value Customers
CUS-00075,25-34,Female,Netherlands,Returning,Meta Ads,2023-12-04,Shoes,Mobile,Potential Loyalists
CUS-00076,35-44,Female,UK,New,Meta Ads,2025-07-31,Sportswear,Tablet,New Customers
CUS-00077,25-34,Female,UK,New,Google Search,2025-09-25,Accessories,Desktop,New Customers
CUS-00078,45-54,Male,Germany,Returning,Affiliate,2024-06-06,Shoes,Desktop,Champions
CUS-00079,35-44,Female,Germany,Returning,Affiliate,2024-01-19,Shoes,Mobile,At Risk
CUS-00080,25-34,Female,Spain,Returning,Affiliate,2024-01-04,Sportswear,Desktop,Potential Loyalists
CUS-00081,25-34,Male,UK,Returning,Affiliate,2024-04-20,Accessories,Mobile,Hibernating
CUS-00082,25-34,Male,Germany,Returning,Organic Search,2024-11-13,Jeans,Mobile,Discount Seekers
CUS-00083,35-44,Female,Germany,Returning,Display Ads,2024-10-22,Accessories,Desktop,Hibernating
CUS-00084,45-54,Female,France,Returning,Google Search,2025-07-04,Beauty,Mobile,Potential Loyalists
CUS-00085,25-34,Male,France,Returning,TikTok Ads,2024-12-21,Shoes,Desktop,Potential Loyalists
CUS-00086,25-34,Male,Spain,Returning,Google Search,2023-05-26,Shoes,Mobile,Hibernating
CUS-00087,35-44,Female,France,Returning,Organic Search,2024-10-24,Accessories,Mobile,Hibernating
CUS-00088,45-54,Non-binary/Other,Spain,New,Google Search,2025-11-19,Accessories,Mobile,New Customers
CUS-00089,25-34,Female,Netherlands,Returning,Email,2025-03-26,Dresses,Mobile,Discount Seekers
CUS-00090,25-34,Female,Italy,Returning,Google Search,2025-01-09,Dresses,Desktop,Loyal Customers
CUS-00091,25-34,Non-binary/Other,Germany,Returning,Google Search,2025-08-15,Dresses,Mobile,Discount Seekers
CUS-00092,18-24,Female,Germany,Returning,Email,2023-02-25,Jackets,Mobile,Champions
CUS-00093,45-54,Female,UK,Returning,Google Search,2024-11-15,Accessories,Mobile,Loyal Customers
CUS-00094,45-54,Female,France,New,TikTok Ads,2025-09-25,Beauty,Desktop,New Customers
CUS-00095,25-34,Non-binary/Other,UK,Returning,Email,2023-06-08,Jackets,Desktop,Champions
CUS-00096,25-34,Female,France,Returning,Email,2023-01-26,Bags,Desktop,Champions
CUS-00097,55+,Non-binary/Other,Spain,Returning,Google Search,2023-11-10,Bags,Mobile,Champions
CUS-00098,35-44,Female,France,New,Meta Ads,2025-07-09,Shoes,Mobile,New Customers
CUS-00099,25-34,Female,France,Returning,Email,2023-10-22,Shoes,Mobile,Hibernating
CUS-00100,25-34,Male,Germany,Returning,Display Ads,2023-06-15,Bags,Desktop,Champions
CUS-00101,25-34,Female,Spain,Returning,Affiliate,2023-01-18,Dresses,Desktop,At Risk
CUS-00102,25-34,Male,France,Returning,Email,2024-04-08,Shoes,Mobile,Hibernating
CUS-00103,18-24,Female,UK,Returning,Organic Search,2023-12-02,Accessories,Mobile,Loyal Customers
CUS-00104,25-34,Female,Netherlands,Returning,Organic Search,2024-11-10,Dresses,Desktop,Loyal Customers
CUS-00105,25-34,Female,Italy,Returning,Email,2024-03-07,Sportswear,Mobile,Discount Seekers
CUS-00106,25-34,Female,UK,Returning,Organic Search,2023-02-02,Beauty,Desktop,Hibernating
CUS-00107,45-54,Male,UK,New,Affiliate,2025-11-25,Shoes,Mobile,New Customers
CUS-00108,18-24,Female,France,Returning,Google Search,2024-12-03,Beauty,Mobile,Hibernating
CUS-00109,35-44,Female,Germany,Returning,Meta Ads,2024-10-01,Bags,Desktop,Champions
CUS-00110,25-34,Male,France,Returning,Display Ads,2025-05-01,Accessories,Mobile,Potential Loyalists
CUS-00111,35-44,Female,Germany,Returning,Google Search,2023-01-22,Beauty,Mobile,Hibernating
CUS-00112,35-44,Female,Netherlands,Returning,Meta Ads,2025-03-30,Jeans,Tablet,Loyal Customers
CUS-00113,45-54,Male,Spain,Returning,Organic Search,2024-02-17,Accessories,Mobile,Hibernating
CUS-00114,35-44,Female,Poland,New,Google Search,2025-07-09,Shoes,Mobile,New Customers
CUS-00115,25-34,Female,UK,Returning,Organic Search,2023-05-26,Shoes,Desktop,Hibernating
CUS-00116,35-44,Female,Italy,New,TikTok Ads,2025-06-06,Beauty,Tablet,New Customers
CUS-00117,25-34,Male,France,Returning,Meta Ads,2024-02-03,Shoes,Mobile,Potential Loyalists
CUS-00118,55+,Female,Italy,Returning,Affiliate,2025-01-10,Shoes,Mobile,Loyal Customers
CUS-00119,25-34,Female,UK,Returning,Email,2024-05-22,Shoes,Mobile,Loyal Customers
CUS-00120,18-24,Female,UK,Returning,Display Ads,2024-02-20,Accessories,Mobile,Hibernating
CUS-00121,35-44,Male,Italy,Returning,Google Search,2023-01-27,Jeans,Mobile,Loyal Customers
CUS-00122,45-54,Female,Italy,Returning,Email,2024-06-04,Jackets,Mobile,Champions
CUS-00123,35-44,Male,France,Returning,Meta Ads,2024-11-26,Shoes,Mobile,Loyal Customers
CUS-00124,45-54,Female,Italy,Returning,Affiliate,2024-01-30,Dresses,Desktop,Loyal Customers
CUS-00125,35-44,Female,Germany,Returning,Organic Search,2023-08-20,Beauty,Tablet,Hibernating
CUS-00126,55+,Non-binary/Other,France,Returning,TikTok Ads,2025-05-06,Shoes,Mobile,Potential Loyalists
CUS-00127,18-24,Female,Spain,Returning,Meta Ads,2023-06-26,Jackets,Desktop,High-Value Customers
CUS-00128,35-44,Female,France,Returning,Google Search,2023-11-22,Jeans,Mobile,Loyal Customers
CUS-00129,18-24,Female,France,Returning,TikTok Ads,2024-04-02,Jeans,Mobile,At Risk
CUS-00130,35-44,Male,Italy,New,Google Search,2025-09-28,Sportswear,Desktop,New Customers
CUS-00131,35-44,Female,France,Returning,Meta Ads,2024-01-07,Accessories,Desktop,Potential Loyalists
CUS-00132,18-24,Female,Germany,Returning,Meta Ads,2024-03-12,Shoes,Mobile,Discount Seekers
CUS-00133,25-34,Female,Germany,Returning,Email,2024-08-12,Dresses,Mobile,High-Value Customers
CUS-00134,55+,Non-binary/Other,Spain,Returning,Affiliate,2025-03-19,Shoes,Mobile,Discount Seekers
CUS-00135,25-34,Male,Germany,Returning,Google Search,2024-08-18,Jeans,Mobile,Loyal Customers
CUS-00136,35-44,Female,France,Returning,Meta Ads,2023-07-03,Jeans,Desktop,Loyal Customers
CUS-00137,18-24,Male,Italy,Returning,Organic Search,2023-05-13,Jeans,Mobile,At Risk
CUS-00138,25-34,Female,Poland,Returning,Google Search,2024-09-17,Accessories,Desktop,Potential Loyalists
CUS-00139,25-34,Female,Italy,Returning,Organic Search,2023-04-01,Accessories,Mobile,Hibernating
CUS-00140,25-34,Female,UK,New,Organic Search,2025-10-14,Beauty,Mobile,New Customers
CUS-00141,25-34,Female,UK,New,TikTok Ads,2025-10-17,Accessories,Mobile,New Customers
CUS-00142,25-34,Male,Netherlands,Returning,Organic Search,2024-10-15,Shoes,Desktop,Hibernating
CUS-00143,55+,Male,Spain,Returning,Affiliate,2023-05-26,Jeans,Tablet,Hibernating
CUS-00144,35-44,Male,Spain,Returning,Affiliate,2024-04-17,Jackets,Mobile,Champions
CUS-00145,25-34,Male,Italy,Returning,Organic Search,2025-03-24,Jackets,Desktop,Champions
CUS-00146,18-24,Male,Netherlands,Returning,Affiliate,2023-07-28,Shoes,Desktop,At Risk
CUS-00147,25-34,Male,France,New,Meta Ads,2025-11-19,Sportswear,Mobile,New Customers
CUS-00148,25-34,Male,Germany,Returning,TikTok Ads,2023-12-04,Shoes,Mobile,Loyal Customers
CUS-00149,45-54,Female,Germany,Returning,Display Ads,2024-07-21,Shoes,Desktop,Potential Loyalists
CUS-00150,35-44,Female,Spain,Returning,Meta Ads,2024-07-06,Beauty,Mobile,Hibernating
CUS-00151,35-44,Female,UK,Returning,Google Search,2023-10-19,Accessories,Desktop,Hibernating
CUS-00152,25-34,Female,Spain,New,Google Search,2025-11-25,Accessories,Tablet,New Customers
CUS-00153,18-24,Female,Germany,Returning,Meta Ads,2023-07-11,Shoes,Mobile,Potential Loyalists
CUS-00154,25-34,Female,France,Returning,Google Search,2024-11-08,Accessories,Mobile,Potential Loyalists
CUS-00155,18-24,Female,Poland,New,TikTok Ads,2025-09-18,Accessories,Desktop,New Customers
CUS-00156,45-54,Female,Germany,Returning,Affiliate,2024-12-12,Shoes,Mobile,Potential Loyalists
CUS-00157,45-54,Male,France,New,Meta Ads,2025-11-28,Accessories,Mobile,New Customers
CUS-00158,18-24,Female,Germany,Returning,Organic Search,2023-07-21,Bags,Desktop,At Risk
CUS-00159,55+,Female,Netherlands,Returning,Google Search,2023-03-06,Jackets,Mobile,Champions
CUS-00160,55+,Male,France,Returning,Google Search,2024-01-06,Shoes,Mobile,Champions
CUS-00161,25-34,Female,Italy,Returning,Email,2023-10-14,Dresses,Desktop,Loyal Customers
CUS-00162,25-34,Female,Germany,Returning,Email,2023-11-27,Jeans,Desktop,Discount Seekers
CUS-00163,25-34,Male,France,Returning,Email,2023-04-10,Jeans,Desktop,At Risk
CUS-00164,18-24,Male,Poland,Returning,Google Search,2025-03-05,Jeans,Mobile,Loyal Customers
CUS-00165,35-44,Female,France,Returning,Email,2023-08-09,Shoes,Mobile,Discount Seekers
CUS-00166,18-24,Female,Poland,New,TikTok Ads,2025-09-25,Beauty,Mobile,New Customers
CUS-00167,25-34,Female,Germany,New,Email,2025-10-29,Sportswear,Desktop,New Customers
CUS-00168,25-34,Female,Germany,Returning,Display Ads,2024-04-04,Sportswear,Mobile,Discount Seekers
CUS-00169,35-44,Female,UK,Returning,Google Search,2025-02-19,Bags,Mobile,Champions
CUS-00170,25-34,Non-binary/Other,Germany,Returning,Meta Ads,2025-03-06,Accessories,Desktop,Loyal Customers
CUS-00171,25-34,Male,Netherlands,Returning,Organic Search,2023-07-16,Bags,Mobile,At Risk
CUS-00172,18-24,Male,France,Returning,Meta Ads,2024-07-29,Shoes,Mobile,Loyal Customers
CUS-00173,25-34,Female,UK,Returning,Google Search,2023-07-10,Dresses,Desktop,At Risk
CUS-00174,18-24,Female,UK,Returning,Email,2024-01-14,Jeans,Mobile,Loyal Customers
CUS-00175,35-44,Female,UK,Returning,Google Search,2025-03-17,Bags,Mobile,Champions
CUS-00176,35-44,Female,Italy,Returning,Meta Ads,2023-06-13,Dresses,Mobile,Loyal Customers
CUS-00177,18-24,Female,UK,New,TikTok Ads,2025-08-04,Shoes,Mobile,New Customers
CUS-00178,55+,Male,UK,Returning,Email,2024-08-01,Accessories,Mobile,Loyal Customers
CUS-00179,25-34,Female,UK,Returning,Organic Search,2024-06-09,Accessories,Desktop,Loyal Customers
CUS-00180,25-34,Male,Spain,Returning,Affiliate,2023-10-24,Shoes,Mobile,Discount Seekers
CUS-00181,45-54,Female,UK,Returning,Google Search,2024-09-13,Beauty,Mobile,Potential Loyalists
CUS-00182,25-34,Female,Germany,Returning,Organic Search,2025-01-10,Accessories,Desktop,Potential Loyalists
CUS-00183,35-44,Female,Netherlands,Returning,Affiliate,2024-01-02,Bags,Mobile,Champions
CUS-00184,18-24,Male,Germany,Returning,TikTok Ads,2023-09-09,Accessories,Mobile,Potential Loyalists
CUS-00185,25-34,Non-binary/Other,UK,Returning,Email,2024-02-05,Shoes,Mobile,Loyal Customers
CUS-00186,25-34,Female,Poland,Returning,Meta Ads,2024-07-15,Bags,Mobile,At Risk
CUS-00187,25-34,Female,UK,Returning,Organic Search,2023-02-04,Accessories,Tablet,Loyal Customers
CUS-00188,35-44,Female,Germany,Returning,Google Search,2023-06-06,Shoes,Mobile,Discount Seekers
CUS-00189,35-44,Female,Germany,Returning,Meta Ads,2024-01-14,Dresses,Mobile,Discount Seekers
CUS-00190,18-24,Female,France,Returning,Affiliate,2023-08-20,Shoes,Desktop,Champions
CUS-00191,35-44,Male,France,Returning,Email,2023-08-01,Accessories,Mobile,Loyal Customers
CUS-00192,25-34,Female,Spain,Returning,Google Search,2023-01-09,Dresses,Desktop,Loyal Customers
CUS-00193,25-34,Female,France,Returning,Meta Ads,2024-11-09,Bags,Tablet,At Risk
CUS-00194,35-44,Female,Italy,Returning,Affiliate,2024-10-31,Jeans,Mobile,Loyal Customers
CUS-00195,18-24,Female,Netherlands,Returning,Email,2024-07-21,Dresses,Mobile,Discount Seekers
CUS-00196,18-24,Female,Netherlands,Returning,Organic Search,2024-05-26,Shoes,Desktop,Hibernating
CUS-00197,55+,Male,Italy,Returning,Meta Ads,2024-05-26,Accessories,Mobile,Hibernating
CUS-00198,45-54,Female,France,New,TikTok Ads,2025-11-12,Sportswear,Mobile,New Customers
CUS-00199,18-24,Female,Spain,Returning,Google Search,2024-06-18,Bags,Mobile,High-Value Customers
CUS-00200,35-44,Female,UK,Returning,Organic Search,2023-12-09,Sportswear,Mobile,Champions
CUS-00201,25-34,Female,Spain,Returning,Google Search,2024-10-15,Shoes,Mobile,Potential Loyalists
CUS-00202,18-24,Female,Netherlands,Returning,Google Search,2024-12-29,Sportswear,Mobile,Potential Loyalists
CUS-00203,35-44,Female,Poland,Returning,Email,2023-10-06,Dresses,Mobile,Discount Seekers
CUS-00204,18-24,Male,Poland,New,Google Search,2025-11-22,Shoes,Mobile,New Customers
CUS-00205,35-44,Male,Poland,Returning,Meta Ads,2023-04-16,Accessories,Desktop,Hibernating
CUS-00206,25-34,Male,Italy,Returning,Organic Search,2023-03-14,Jeans,Tablet,Loyal Customers
CUS-00207,25-34,Female,Germany,Returning,TikTok Ads,2025-01-30,Jackets,Desktop,High-Value Customers
CUS-00208,35-44,Female,UK,New,Organic Search,2025-09-27,Accessories,Mobile,New Customers
CUS-00209,55+,Female,Germany,New,Meta Ads,2025-10-04,Accessories,Desktop,New Customers
CUS-00210,45-54,Female,France,Returning,Organic Search,2024-10-22,Bags,Mobile,High-Value Customers
CUS-00211,18-24,Female,UK,Returning,Google Search,2024-04-08,Shoes,Mobile,Potential Loyalists
CUS-00212,25-34,Female,UK,Returning,TikTok Ads,2025-03-21,Sportswear,Desktop,Potential Loyalists
CUS-00213,18-24,Female,Germany,Returning,TikTok Ads,2023-04-23,Dresses,Desktop,At Risk
CUS-00214,25-34,Male,Germany,Returning,Organic Search,2023-03-25,Jeans,Desktop,Loyal Customers
CUS-00215,18-24,Female,Poland,Returning,Google Search,2024-08-14,Shoes,Desktop,Potential Loyalists
CUS-00216,25-34,Male,Germany,Returning,TikTok Ads,2024-11-14,Jeans,Tablet,Loyal Customers
CUS-00217,55+,Non-binary/Other,Germany,Returning,Email,2023-01-08,Shoes,Mobile,Loyal Customers
CUS-00218,55+,Male,Poland,Returning,Meta Ads,2025-03-12,Shoes,Mobile,Discount Seekers
CUS-00219,45-54,Female,Germany,Returning,Google Search,2024-01-03,Jeans,Mobile,At Risk
CUS-00220,18-24,Male,Spain,Returning,Google Search,2023-12-12,Sportswear,Desktop,Potential Loyalists
CUS-00221,45-54,Female,France,Returning,Meta Ads,2023-06-19,Shoes,Mobile,Potential Loyalists
CUS-00222,35-44,Male,UK,New,Meta Ads,2025-07-20,Shoes,Desktop,New Customers
CUS-00223,18-24,Female,Germany,Returning,Meta Ads,2023-05-16,Jeans,Mobile,At Risk
CUS-00224,35-44,Male,Italy,Returning,Meta Ads,2025-01-12,Shoes,Tablet,Discount Seekers
CUS-00225,35-44,Female,Italy,Returning,Email,2025-05-22,Shoes,Desktop,Discount Seekers
CUS-00226,55+,Male,Italy,Returning,Display Ads,2023-08-17,Accessories,Desktop,Potential Loyalists
CUS-00227,35-44,Female,UK,Returning,Google Search,2025-05-24,Sportswear,Mobile,Potential Loyalists
CUS-00228,25-34,Female,Italy,New,Organic Search,2025-06-23,Beauty,Tablet,New Customers
CUS-00229,25-34,Male,Germany,New,Display Ads,2025-09-27,Accessories,Desktop,New Customers
CUS-00230,18-24,Female,France,New,Meta Ads,2025-06-15,Shoes,Desktop,New Customers
CUS-00231,25-34,Female,France,Returning,Google Search,2023-08-26,Shoes,Desktop,At Risk
CUS-00232,45-54,Female,UK,New,Organic Search,2025-09-02,Shoes,Desktop,New Customers
CUS-00233,35-44,Male,Germany,Returning,Meta Ads,2024-05-09,Beauty,Desktop,Potential Loyalists
CUS-00234,45-54,Female,Germany,Returning,Google Search,2024-10-07,Sportswear,Desktop,Potential Loyalists
CUS-00235,25-34,Female,UK,Returning,Google Search,2024-10-22,Accessories,Desktop,Potential Loyalists
CUS-00236,25-34,Female,Italy,Returning,Affiliate,2024-03-17,Shoes,Mobile,Champions
CUS-00237,55+,Female,Netherlands,Returning,Email,2023-07-03,Jeans,Mobile,Loyal Customers
CUS-00238,35-44,Male,Germany,Returning,TikTok Ads,2024-07-08,Shoes,Desktop,Hibernating
CUS-00239,18-24,Female,France,Returning,Affiliate,2025-04-24,Sportswear,Mobile,Potential Loyalists
CUS-00240,25-34,Female,Germany,Returning,Google Search,2023-04-08,Accessories,Desktop,Loyal Customers
CUS-00241,25-34,Male,France,New,Google Search,2025-08-21,Beauty,Desktop,New Customers
CUS-00242,45-54,Male,Germany,Returning,Meta Ads,2024-12-01,Beauty,Mobile,Hibernating
CUS-00243,25-34,Male,France,Returning,Meta Ads,2023-04-29,Jeans,Mobile,Loyal Customers
CUS-00244,25-34,Female,Poland,Returning,Meta Ads,2023-06-17,Accessories,Desktop,Hibernating
CUS-00245,35-44,Female,Italy,Returning,Google Search,2023-06-02,Dresses,Mobile,Discount Seekers
CUS-00246,25-34,Female,UK,Returning,Display Ads,2024-02-21,Shoes,Mobile,At Risk
CUS-00247,45-54,Male,UK,Returning,Email,2023-03-29,Shoes,Mobile,At Risk
CUS-00248,25-34,Male,Netherlands,Returning,Google Search,2024-02-16,Bags,Mobile,Champions
CUS-00249,35-44,Female,Italy,Returning,TikTok Ads,2024-12-03,Jeans,Tablet,Discount Seekers
CUS-00250,18-24,Female,Italy,Returning,Google Search,2025-07-04,Shoes,Mobile,Potential Loyalists
CUS-00251,35-44,Male,UK,Returning,Meta Ads,2024-07-13,Jeans,Mobile,Discount Seekers
CUS-00252,55+,Female,Italy,New,Organic Search,2025-11-02,Accessories,Mobile,New Customers
CUS-00253,35-44,Female,France,Returning,Display Ads,2023-03-29,Shoes,Mobile,Champions
CUS-00254,18-24,Female,Italy,Returning,Affiliate,2023-02-26,Jackets,Mobile,Champions
CUS-00255,18-24,Female,France,Returning,Organic Search,2023-03-07,Dresses,Mobile,At Risk
CUS-00256,45-54,Female,Italy,New,Email,2025-11-26,Sportswear,Tablet,New Customers
CUS-00257,35-44,Female,Spain,Returning,Organic Search,2024-12-04,Jackets,Desktop,Champions
CUS-00258,25-34,Male,Italy,Returning,Organic Search,2024-07-30,Accessories,Mobile,Hibernating
CUS-00259,35-44,Female,Germany,Returning,Email,2023-11-12,Sportswear,Mobile,Discount Seekers
CUS-00260,35-44,Female,UK,New,Display Ads,2025-12-07,Sportswear,Desktop,New Customers
CUS-00261,45-54,Male,Poland,New,TikTok Ads,2025-11-01,Sportswear,Mobile,New Customers
CUS-00262,25-34,Male,UK,Returning,Affiliate,2024-10-01,Jackets,Tablet,Champions
CUS-00263,18-24,Male,Germany,Returning,Organic Search,2024-09-15,Jeans,Mobile,Hibernating
CUS-00264,35-44,Female,UK,Returning,Google Search,2023-06-13,Shoes,Mobile,Potential Loyalists
CUS-00265,18-24,Female,Germany,Returning,Meta Ads,2025-01-08,Sportswear,Mobile,Discount Seekers
CUS-00266,18-24,Male,UK,Returning,Meta Ads,2024-11-16,Accessories,Mobile,Potential Loyalists
CUS-00267,55+,Female,Poland,New,Meta Ads,2025-06-23,Shoes,Mobile,New Customers
CUS-00268,25-34,Female,Germany,Returning,TikTok Ads,2023-09-03,Beauty,Mobile,Potential Loyalists
CUS-00269,25-34,Male,Germany,Returning,Email,2023-10-10,Accessories,Mobile,Loyal Customers
CUS-00270,18-24,Male,Germany,Returning,Email,2023-02-12,Accessories,Tablet,Hibernating
CUS-00271,18-24,Female,Germany,New,Meta Ads,2025-11-22,Accessories,Desktop,New Customers
CUS-00272,18-24,Male,UK,New,TikTok Ads,2025-06-04,Accessories,Tablet,New Customers
